10.6,219
10.8,223
15.2,306
15.4,306
12.9,251
11.1,223
14.6,285
13.2,260
13.6,267
12.1,246
14.9,292
14.3,288
15,294
15.4,306
15.2,304
15.2,304
15.4,306
14.6,297
15.5,308
15.5,308
15.2,304
15.2,304
13.1,260
13.1,260
12.3,246
13.1,260
14.6,292
13.9,281
13.8,271
13,258
13.8,271
13,258
13.9,274
13,258
13.9,274
13,258
14.6,288
13,258
14.6,288
14.5,285
14.7,294
16.4,317
15.5,320
15.4,308
15.4,308
19.1,373
13.9,281
13.9,281
19.6,375
14.9,294
14,278
13.4,267
13.9,278
13.9,278
19.3,380
13.1,255
13.8,265
14.4,276
15.1,290
13.5,262
15.1,290
14.7,294
15.5,297
15.5,297
21.2,430
15.5,297
17,350
17.4,359
16.2,336
17.7,368
16.2,336
16.3,327
16.9,350
18.7,386
17.7,368
18.5,384
16.3,334
18.9,373
16.7,343
17.9,373
21.4,435
13.9,269
13.7,262
15.4,306
14.7,285
11.6,232
12.2,235
12.5,248
12.1,235
11.8,242
15.5,308
14.4,278
17.8,368
18.2,373
19.3,398
18.3,380
18.5,384
20.6,426
13.6,260
13.5,262
17,350
18.7,386
17.3,366
20.1,405
18,377
21.1,430
13.6,260
13.5,262
13.1,255
7.1,147
9.1,191
7.6,156
18.9,391
18.7,391
18.9,391
18.7,391
18.9,391
13.8,278
12.2,246
15.4,313
16.1,322
16.8,345
16.3,329
11.7,251
11.9,255
10.5,228
11.7,251
11.9,255
14,281
14.4,283
13.4,265
13.6,269
13.2,260
14.2,276
13.2,260
13.2,258
14.2,274
14.4,283
14.7,288
10.9,223
9.6,198
13.4,276
13.2,269
13.5,267
13.6,269
14.7,288
15.2,304
16.2,320
11.3,216
10.3,205
11.6,225
10.4,207
13.4,265
13.1,258
12,239
11.9,237
12,239
11.9,237
14.6,290
14.5,288
15.2,304
14.5,288
20.6,283
16.3,331
16.8,329
17.6,357
18.3,363
20.8,423
18.1,375
19.1,386
18.3,370
18.8,382
22.3,444
19.3,389
22.3,444
22.3,444
14.6,290
14.5,288
15.2,304
15.5,308
16.2,320
16.4,324
14.5,288
20.6,283
17.3,350
17.4,345
20,396
20.2,396
21.5,416
21.6,435
22.1,437
21.6,426
17.6,377
19.6,386
20.8,423
18.3,393
20,393
20,393
21.5,416
20.8,353
21.8,444
21.8,423
21.4,396
21.4,396
24.6,474
24.1,472
26.7,513
26.3,495
26.7,513
26.3,495
30.2,582
11.1,219
13.1,260
13.3,260
15.1,299
19.1,393
18.8,382
19.9,403
19,389
17.8,359
17.9,363
19.1,391
20.2,403
10.6,216
10.6,216
17.8,359
20.2,403
19.3,391
21.1,426
14.9,304
18.4,368
16.4,336
18.7,373
17.1,357
17.3,352
16.5,336
16.7,343
16.7,340
16.3,334
17,345
17.8,354
17.9,363
17.3,359
18,373
18.5,380
18.8,380
20.7,423
10.8,221
10.8,216
10.6,219
10.9,216
15,297
13.4,267
13.6,267
15.1,301
15.4,304
15.7,308
15.7,315
16.2,322
17,354
14.9,306
16.4,336
15.5,320
17.3,357
16.5,340
13.6,267
13.5,265
14.2,278
14,276
15.6,311
14.9,304
15.6,311
15.5,311
17.7,368
18.5,384
16.3,334
18.9,373
16.7,343
18.7,391
18.9,391
18.9,391
17.9,373
21.4,435
17.8,368
18.2,373
19.1,396
18.3,380
18.3,377
20.6,426
16.2,336
16.3,327
17,350
18.7,386
17,350
18.7,386
17.3,366
20.2,407
18,377
18.7,391
18.9,391
21.2,430
16.2,336
17,350
17.7,368
17.4,359
13.8,278
12.2,246
15.4,313
16.2,322
16.8,345
16.3,329
13,260
12.2,246
11.5,235
11.8,237
10.8,221
10.5,216
9.8,205
10.9,223
10,202
8.8,184
12.5,267
12.5,267
4.9,104
14.9,292
12.7,260
12,251
13.1,269
10.5,209
9.7,198
12.2,242
11.3,223
12.5,248
11.4,228
13,260
13.2,262
12.2,244
11.4,228
11.6,235
11.4,230
13.4,265
17.7,366
13.8,278
12.2,246
15.4,313
16.8,345
16.6,340
16.8,347
17.8,366
17.9,368
14.8,290
15.3,308
15.5,306
16.6,331
15.5,306
16.5,331
15.4,304
15.5,306
15.7,313
16.3,324
16.6,338
15.4,317
16.5,336
18,363
16.6,357
14.7,315
17.3,368
16.7,347
11.7,235
11.2,237
13.4,294
12.8,288
19.6,403
19.6,403
19.6,403
22.1,458
13.8,276
13.7,281
15,299
14.3,285
19.4,405
14.2,292
14.4,299
15.2,297
15.4,304
15.5,304
15.9,313
21.4,430
15.3,304
12.7,258
10.6,219
13.7,278
13.3,271
15.6,313
16.2,322
17.1,357
15.5,320
17.2,354
16.5,343
13.8,276
13.7,271
15.2,313
11.9,244
11.1,230
11.5,239
10.6,221
9.8,207
11.2,230
10.2,212
12.5,251
12.7,258
14.7,304
12.9,255
13.6,269
14.4,290
15.2,304
12.9,253
13.1,262
13.5,274
13.2,267
14.6,292
15.1,306
16,317
16.1,336
17,354
15.3,304
16.1,320
16.3,322
20.1,393
12,242
12.6,246
12.8,258
11.6,235
13.5,283
12.1,255
14.9,313
16.8,350
16.1,345
17.3,361
16.2,350
13.4,265
12.3,253
17.3,361
16.5,357
15.5,306
14.2,292
16.5,343
15.9,338
17.3,361
16.2,350
12.1,242
12.5,244
13.6,262
14.7,283
14,281
15.4,308
14.4,276
15.1,290
13.9,269
13.8,265
14.9,299
14.9,290
7.1,147
9.1,191
7.6,156
12.1,242
12.5,244
13.6,262
13.1,255
13.5,262
15,288
14,281
11.8,242
11.6,232
12.2,235
12.5,248
12.1,235
16,308
15.4,301
16,313
15.7,311
15.3,301
15,297
15.9,311
15,294
13.4,274
12.9,255
13.1,258
13.9,276
13.2,260
14.3,283
13.9,276
13.2,260
14.3,283
11.9,239
12.2,235
13.3,269
12.1,244
13.3,269
10.1,200
9.8,191
10.6,207
10.3,202
10.1,198
9.3,184
10.6,207
10.3,202
10.6,207
10.3,202
12.2,246
12.5,248
11.7,239
11.8,242
11.8,244
12.8,258
11.7,239
11.8,242
12.2,253
12.5,253
12.2,255
12.5,253
9.9,205
8.8,182
10.3,209
9.6,196
14.2,304
13.8,294
9.1,191
7.6,156
11.7,251
11.8,253
10.5,228
11.7,253
11.8,255
14.2,301
15.4,320
15.7,334
15.7,331
12.7,251
11.8,239
11.4,228
13.4,267
11.8,239
13.4,267
12.7,253
14,278
10.1,205
11.6,237
10,209
11.6,230
9.3,189
8.7,179
8.6,179
8.2,173
11.3,235
11.2,232
12.2,258
12.1,258
11.3,235
11.2,232
11.8,251
11.9,253
14.3,288
12.6,267
12.2,253
14,301
15.3,324
14.2,301
15.7,329
15.2,324
15.7,331
15.7,331
16,336
17.3,363
17.2,368
17.1,363
18.2,382
12.6,253
11.2,230
17.6,357
18.6,375
12.1,248
11.1,225
11.9,244
11.2,228
8.1,192
6.7,165
11.1,225
11.9,244
11.2,228
13.2,260
12.1,248
11.1,225
11.9,244
11.2,228
14.2,283
13.6,267
8.1,192
6.7,165
11.9,248
10.6,223
11.9,244
11.2,228
8.1,192
6.7,165
13.2,258
11.2,225
14.7,288
13.4,262
13.2,258
11.2,225
14.7,288
13.4,262
14.2,285
13.4,269
13.9,278
13.9,274
13,260
13.6,274
13.2,262
12.6,251
14.4,288
13.6,274
13.9,274
13,260
14.5,285
15.1,297
13.2,262
12.6,251
14.4,288
13.6,274
13.9,274
13,260
14.7,299
